,issue,issueArea,decisionDirection,splitVote,majVotes,minVotes,justice1Code,justice2Code,justice3Code,justice4Code,justice5Code,justice6Code,justice7Code,justice8Code,justice9Code,justice1Direction,justice2Direction,justice3Direction,justice4Direction,justice5Direction,justice6Direction,justice7Direction,justice8Direction,justice9Direction
0,80180.0,8.0,2.0,1,8,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,10500.0,1.0,1.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
2,80250.0,8.0,2.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
3,20150.0,2.0,2.0,1,5,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0
4,80060.0,8.0,2.0,1,6,3,87.0,78.0,79.0,80.0,81.0,82.0,84.0,85.0,86.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
5,80100.0,8.0,1.0,1,7,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0
6,80120.0,8.0,2.0,1,6,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,,,2.0,,2.0,2.0,2.0,2.0
7,90200.0,9.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,70190.0,7.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,80030.0,8.0,2.0,1,8,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0
10,10120.0,1.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
11,20130.0,2.0,2.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
12,10430.0,1.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,10400.0,1.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
14,80320.0,8.0,2.0,1,8,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0
15,40070.0,4.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
16,80100.0,8.0,1.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
17,80170.0,8.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
18,120010.0,12.0,2.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
19,30130.0,3.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,30130.0,3.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,70100.0,7.0,2.0,1,8,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
22,30130.0,3.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
23,120030.0,12.0,2.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
24,10430.0,1.0,1.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
25,80180.0,8.0,2.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
26,80180.0,8.0,2.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
27,80100.0,8.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
28,80230.0,8.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,80110.0,8.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
30,80120.0,8.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
31,80040.0,8.0,2.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
32,10130.0,1.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
33,90110.0,9.0,1.0,1,5,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,
34,50040.0,5.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,90320.0,9.0,2.0,1,8,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
36,90120.0,9.0,2.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
37,90120.0,9.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,110030.0,11.0,3.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,,,,,,,,,
39,80030.0,8.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
40,80060.0,8.0,2.0,1,9,0,87.0,78.0,79.0,80.0,81.0,82.0,84.0,85.0,86.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41,80220.0,8.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
42,40070.0,4.0,2.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
43,80220.0,8.0,2.0,1,8,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
44,80180.0,8.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
45,80040.0,8.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
46,80060.0,8.0,2.0,1,9,0,87.0,78.0,79.0,80.0,81.0,82.0,84.0,85.0,86.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
47,10120.0,1.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
48,30170.0,3.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
49,90340.0,9.0,1.0,1,4,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,,2.0,1.0,1.0,2.0,2.0,,1.0
50,30010.0,3.0,1.0,1,5,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,,1.0,1.0,1.0,2.0,2.0,,1.0
51,70040.0,7.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,10170.0,1.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,20150.0,2.0,1.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
54,90460.0,9.0,1.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
55,90330.0,9.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,70070.0,7.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
57,80220.0,8.0,1.0,1,8,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
58,80220.0,8.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
59,10080.0,1.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
60,100050.0,10.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
61,70020.0,7.0,1.0,1,5,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0
62,80100.0,8.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
63,80050.0,8.0,2.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
64,90140.0,9.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
65,80040.0,8.0,2.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
66,70070.0,7.0,2.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
67,90140.0,9.0,2.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
68,90140.0,9.0,2.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
69,120030.0,12.0,2.0,1,8,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
70,70040.0,7.0,1.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
71,20060.0,2.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
72,80230.0,8.0,2.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
73,10080.0,1.0,2.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
74,110030.0,11.0,3.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,,,,,,,,,
75,110030.0,11.0,3.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,,,,,,,,,
76,10600.0,1.0,1.0,1,8,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
77,70040.0,7.0,1.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
78,70040.0,7.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,120010.0,12.0,1.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
80,10480.0,1.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,90320.0,9.0,2.0,1,8,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0
82,80010.0,8.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
83,100030.0,10.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
84,120010.0,12.0,2.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
85,70040.0,7.0,1.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
86,80030.0,8.0,1.0,1,8,1,87.0,78.0,79.0,80.0,81.0,82.0,84.0,85.0,86.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
87,20250.0,2.0,1.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
88,80100.0,8.0,2.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
89,90380.0,9.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
90,90340.0,9.0,2.0,1,8,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
91,10360.0,1.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,80200.0,8.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
93,90320.0,9.0,1.0,1,8,1,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
94,10050.0,1.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
95,70040.0,7.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
96,120010.0,12.0,2.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
97,100030.0,10.0,2.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
98,100030.0,10.0,1.0,1,9,0,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,100010.0,10.0,1.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
100,80220.0,8.0,2.0,1,7,2,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
101,30010.0,3.0,2.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
102,70130.0,7.0,2.0,1,6,3,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
103,90130.0,9.0,2.0,1,5,4,86.0,84.0,81.0,80.0,79.0,78.0,85.0,82.0,87.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
